V1,V2,weight,V4,V5
M0Y,1YZ,2.385,co-in,TK
CMG,207,1.9512,co-in,CMGC
N20,207,1.6788,co-in,CMGC
4SP,207,1.4964,co-in,CMGC
N41,207,1.656,co-in,CMGC
N76,207,1.4796,co-in,CMGC
NU6,207,1.6512,co-in,CMGC
JYM,207,1.6146,co-in,CMGC
N69,207,1.6224,co-in,CMGC
55S,207,1.434,co-in,CMGC
4QE,207,1.5594,co-in,CMGC
2A6,207,1.6008,co-in,CMGC
NW1,207,1.5282,co-in,CMGC
6CP,207,1.5384,co-in,CMGC
UN4,207,1.4658,co-in,CMGC
CK8,20K,2.4534,co-in,CMGC
CK5,20K,2.076,co-in,CMGC
CK4,20K,2.1312,co-in,CMGC
CK3,20K,1.776,co-in,CMGC
CK6,20K,1.7694,co-in,CMGC
CK2,20K,1.833,co-in,CMGC
T9N,20K,1.4382,co-in,CMGC
X44,20Z,2.6208,co-in,CMGC
26Z,20Z,2.5824,co-in,CMGC
X42,20Z,2.4942,co-in,CMGC
56Z,20Z,2.4558,co-in,CMGC
X40,20Z,2.4024,co-in,CMGC
99Z,20Z,2.4108,co-in,CMGC
27Z,20Z,2.0964,co-in,CMGC
21Z,20Z,2.3808,co-in,CMGC
X36,20Z,2.055,co-in,CMGC
Z71,20Z,1.9044,co-in,CMGC
X6B,20Z,1.9056,co-in,CMGC
X46,20Z,1.9302,co-in,CMGC
Z31,20Z,1.809,co-in,CMGC
Z67,20Z,1.8828,co-in,CMGC
25Z,20Z,1.9254,co-in,CMGC
O1Z,20Z,1.7712,co-in,CMGC
X3A,20Z,1.869,co-in,CMGC
ZYS,20Z,1.5678,co-in,CMGC
X02,20Z,1.5294,co-in,CMGC
U32,20Z,1.6332,co-in,CMGC
628,20Z,1.5156,co-in,CMGC
29L,215,1.5834,ci-in,TKL
SM5,215,1.494,ci-in,TKL
UW1,21E,1.9338,co-in,Family_Not_Found
BK2,21E,1.4472,co-in,Family_Not_Found
UW3,21E,1.5708,co-in,Family_Not_Found
MJF,21O,2.3106,ci-in,AGC
X36,21Z,2.22,co-in,CMGC
26Z,21Z,2.4576,co-in,CMGC
X44,21Z,2.4486,co-in,CMGC
X42,21Z,2.376,co-in,CMGC
25Z,21Z,2.0316,co-in,CMGC
X46,21Z,1.9956,co-in,CMGC
X40,21Z,2.2938,co-in,CMGC
56Z,21Z,2.2638,co-in,CMGC
X3A,21Z,1.9734,co-in,CMGC
99Z,21Z,2.265,co-in,CMGC
27Z,21Z,1.9452,co-in,CMGC
X6B,21Z,1.8582,co-in,CMGC
ZYS,21Z,1.695,co-in,CMGC
Z67,21Z,1.8054,co-in,CMGC
X02,21Z,1.65,co-in,CMGC
Z71,21Z,1.7958,co-in,CMGC
PQC,21Z,1.4604,co-in,CMGC
Z31,21Z,1.53,co-in,CMGC
O1Z,21Z,1.5012,co-in,CMGC
Z63,21Z,1.4466,co-in,CMGC
X35,21Z,1.4562,co-in,CMGC
T3E,21Z,1.4706,co-in,CMGC
U32,21Z,1.5042,co-in,CMGC
MI5,22K,1.7592,ci-in,CAMK
5EZ,22T,2.319,co-in,STE
3NC,22T,1.5144,co-in,STE
H2K,22T,1.4352,co-in,STE
X76,22Z,1.5936,co-in,CMGC
P5C,23D,1.4766,ci-in,STE
P01,23D,2.0298,ci-in,STE
7KF,23D,1.509,ci-in,STE
3YT,23D,1.449,ci-in,STE
24A,23D,1.5642,ci-in,STE
AP9,23D,1.9092,ci-in,STE
HET,23D,1.4814,ci-in,STE
I17,23D,1.7076,ci-in,STE
PVB,23D,1.7526,ci-in,STE
OLO,23D,1.437,ci-in,STE
RRC,23D,1.5,ci-in,STE
LID,23D,1.4484,ci-in,STE
CK9,23D,1.4448,ci-in,STE
RC8,23D,1.4328,ci-in,STE
SLQ,23D,1.4328,ci-in,STE
G17,242,2.106,ci-out,TK
C52,242,1.6704,ci-out,TK
IHZ,242,1.6032,ci-out,TK
FPX,242,1.5594,ci-out,TK
AM5,242,1.4754,ci-out,TK
3Z1,242,1.8684,ci-out,TK
MUH,242,1.5024,ci-out,TK
P40,242,1.5504,ci-out,TK
NIL,242,1.4634,ci-out,TK
NHJ,242,1.4868,ci-out,TK
5T2,242,1.4928,ci-out,TK
HET,24A,1.947,ci-in,TK
MH7,24K,1.6248,nonspecific,NonSpecific
4MH,24K,1.4736,nonspecific,NonSpecific
5RC,24R,1.7916,ci-in,CAMK
26L,24R,1.4748,ci-in,CAMK
LQQ,24V,1.974,ci-in,CMGC
6ZZ,24V,2.0046,ci-in,CMGC
3NV,24V,1.5522,ci-in,CMGC
T74,24V,1.446,ci-in,CMGC
JAK,24V,1.4358,ci-in,CMGC
6J9,24V,1.452,ci-in,CMGC
69P,24V,1.4316,ci-in,CMGC
X76,24Z,1.6038,co-in,CMGC
9BD,253,1.5216,ci-in,AGC
8H1,253,1.5768,ci-in,AGC
8I1,253,1.5768,ci-in,AGC
DTQ,253,1.4664,ci-in,AGC
6U7,253,1.4982,ci-in,AGC
MSQ,253,1.4352,ci-in,AGC
6TP,255,1.5012,ci-in,CMGC
6GD,255,1.4388,ci-in,CMGC
X36,25Z,2.4474,co-in,CMGC
X46,25Z,2.2206,co-in,CMGC
X3A,25Z,2.1906,co-in,CMGC
X42,25Z,2.0106,co-in,CMGC
26Z,25Z,1.9884,co-in,CMGC
ZYS,25Z,1.8546,co-in,CMGC
X44,25Z,1.9116,co-in,CMGC
X40,25Z,1.812,co-in,CMGC
X02,25Z,1.7688,co-in,CMGC
X6B,25Z,1.5054,co-in,CMGC
56Z,25Z,1.7814,co-in,CMGC
99Z,25Z,1.8156,co-in,CMGC
27Z,25Z,1.464,co-in,CMGC
Z67,25Z,1.4694,co-in,CMGC
Z31,25Z,1.6926,co-in,CMGC
O1Z,25Z,1.656,co-in,CMGC
NHJ,25Z,1.4382,co-in,CMGC
Z71,25Z,1.4478,co-in,CMGC
X35,25Z,1.581,co-in,CMGC
Z63,25Z,1.5558,co-in,CMGC
50Z,25Z,1.455,co-in,CMGC
Z60,25Z,1.437,co-in,CMGC
DZO,26K,1.464,ci-in,CAMK
26L,26K,1.629,ci-in,CAMK
DZO,26L,1.656,ci-in,CAMK
LZC,26L,1.4532,ci-in,CAMK
X42,26Z,2.6112,co-in,CMGC
X44,26Z,2.6238,co-in,CMGC
X40,26Z,2.4726,co-in,CMGC
27Z,26Z,2.13,co-in,CMGC
56Z,26Z,2.415,co-in,CMGC
99Z,26Z,2.4162,co-in,CMGC
X6B,26Z,1.9686,co-in,CMGC
Z67,26Z,1.9482,co-in,CMGC
X36,26Z,2.0868,co-in,CMGC
Z71,26Z,1.9374,co-in,CMGC
X46,26Z,1.9512,co-in,CMGC
X3A,26Z,1.8906,co-in,CMGC
ZYS,26Z,1.5858,co-in,CMGC
X02,26Z,1.548,co-in,CMGC
Z31,26Z,1.5228,co-in,CMGC
O1Z,26Z,1.4964,co-in,CMGC
U32,26Z,1.6302,co-in,CMGC
X35,26Z,1.443,co-in,CMGC
628,26Z,1.5024,co-in,CMGC
U55,26Z,1.4472,co-in,CMGC
PFY,274,2.1186,ci-in,STE
5Z5,274,1.8012,ci-in,STE
J60,274,1.8414,ci-in,STE
AM8,274,1.62,ci-in,STE
K88,274,1.7826,ci-in,STE
B49,274,1.7418,ci-in,STE
RYU,274,1.5486,ci-in,STE
BAX,276,2.0646,ci-out,TK
857,276,1.5462,ci-out,TK
GIG,276,1.5318,ci-out,TK
K11,276,1.476,ci-out,TK
55J,276,1.4514,ci-out,TK
287,279,2.5662,ci-in,CMGC
38P,279,2.3808,ci-in,CMGC
39P,279,2.2986,ci-in,CMGC
NK0,279,2.0772,ci-in,CMGC
P38,279,1.8378,ci-in,CMGC
P39,279,1.9182,ci-in,CMGC
N4D,279,1.4604,ci-in,CMGC
P9J,27,1.6812,ci-in,TK
614,27,1.7868,ci-in,TK
X44,27Z,2.259,co-in,CMGC
56Z,27Z,2.0502,co-in,CMGC
99Z,27Z,2.085,co-in,CMGC
Z71,27Z,2.2962,co-in,CMGC
X40,27Z,2.0922,co-in,CMGC
Z67,27Z,2.2506,co-in,CMGC
X42,27Z,2.061,co-in,CMGC
X6B,27Z,2.2626,co-in,CMGC
X36,27Z,1.611,co-in,CMGC
U32,27Z,1.8618,co-in,CMGC
X3A,27Z,1.506,co-in,CMGC
U55,27Z,1.5456,co-in,CMGC
LZ4,27Z,1.4952,co-in,CMGC
6AE,27Z,1.4658,co-in,CMGC
P39,287,2.1816,ci-in,CMGC
NK0,287,2.1006,ci-in,CMGC
38P,287,2.1486,ci-in,CMGC
39P,287,2.091,ci-in,CMGC
P38,287,1.8636,ci-in,CMGC
N4D,287,1.5168,ci-in,CMGC
N5B,292,1.917,ci-in,CMGC
4CK,292,1.4814,ci-in,CMGC
I45,29A,1.7124,ci-in,CMGC
NQB,29A,1.4712,ci-in,CMGC
GG5,29B,2.8632,ci-in,CMGC
I46,29B,2.4588,ci-in,CMGC
583,29B,1.9392,ci-in,CMGC
EK3,29B,1.779,ci-in,CMGC
LL1,29B,1.4778,ci-in,CMGC
GVG,29B,1.461,ci-in,CMGC
VVT,29B,1.6626,ci-in,CMGC
7KW,29B,1.4844,ci-in,CMGC
PY1,29B,1.5228,ci-in,CMGC
BD4,29K,1.6416,ci-in,Family_Not_Found
UCM,29K,1.5378,ci-in,Family_Not_Found
SM5,29L,2.2638,ci-in,TKL
8PR,29X,2.022,ci-in,AGC
29Z,29Y,2.5446,ci-in,TK
Y3L,29Z,1.455,co-in,TK
J30,2A2,1.5522,ci-in,AGC
6CP,2A6,2.6256,ci-in,CMGC
7GJ,2A6,2.2962,ci-in,CMGC
N20,2A6,2.3796,ci-in,CMGC
4SP,2A6,2.0694,ci-in,CMGC
N41,2A6,2.2476,ci-in,CMGC
55S,2A6,2.0316,ci-in,CMGC
N76,2A6,2.0142,ci-in,CMGC
NU6,2A6,2.1984,ci-in,CMGC
NU5,2A6,1.8678,ci-in,CMGC
CMG,2A6,2.0754,ci-in,CMGC
ST8,2A6,1.5138,ci-in,CMGC
4QE,2A6,1.7628,ci-in,CMGC
75X,2A6,1.6986,ci-in,CMGC
2WC,2A6,1.6458,ci-in,CMGC
G6T,2A6,1.5522,ci-in,CMGC
SQ9,2A6,1.4598,ci-in,CMGC
JYM,2A6,1.7388,ci-in,CMGC
N69,2A6,1.767,ci-in,CMGC
MBP,2A6,1.659,ci-in,CMGC
UN4,2A6,1.608,ci-in,CMGC
N3F,2A8,1.6944,ci-in,CMGC
3FF,2A8,1.578,ci-in,CMGC
48,2A8,1.4358,ci-in,CMGC
FS8,2A8,1.4784,ci-in,CMGC
2C4,2C3,2.2248,ci-in,CMGC
SS3,2EA,1.566,ci-in,Family_Not_Found
L20,2EA,1.497,ci-in,Family_Not_Found
2PY,2EA,1.4832,ci-in,Family_Not_Found
SS4,2EA,1.4688,ci-in,Family_Not_Found
SS5,2EA,1.4478,ci-in,Family_Not_Found
3FR,2FR,2.085,ci-in,Family_Not_Found
5FR,2FR,1.6926,ci-in,Family_Not_Found
4FR,2FR,1.4748,ci-in,Family_Not_Found
I76,2H1,2.1342,ci-in,Family_Not_Found
BK5,2H1,2.112,ci-in,Family_Not_Found
BK4,2H1,2.0742,ci-in,Family_Not_Found
ABJ,2H1,1.9764,ci-in,Family_Not_Found
KS5,2H1,2.0238,ci-in,Family_Not_Found
BK1,2H1,1.5552,ci-in,Family_Not_Found
BK2,2H1,1.8294,ci-in,Family_Not_Found
PD5,2H1,1.7568,ci-in,Family_Not_Found
VSH,2H1,1.7688,ci-in,Family_Not_Found
UWA,2H1,1.8504,ci-in,Family_Not_Found
VSP,2H1,1.4316,ci-in,Family_Not_Found
UW9,2H1,1.7838,ci-in,Family_Not_Found
C88,2H1,1.7292,ci-in,Family_Not_Found
V68,2H1,1.746,ci-in,Family_Not_Found
BK6,2H1,1.6878,ci-in,Family_Not_Found
BK7,2H1,1.689,ci-in,Family_Not_Found
PP1,2H1,1.737,ci-in,Family_Not_Found
UWB,2H1,1.6818,ci-in,Family_Not_Found
KS4,2H1,1.6638,ci-in,Family_Not_Found
KS1,2H1,1.5978,ci-in,Family_Not_Found
4C9,2H1,1.611,ci-in,Family_Not_Found
L1G,2H1,1.5744,ci-in,Family_Not_Found
L2G,2H1,1.5558,ci-in,Family_Not_Found
L3G,2H1,1.5438,ci-in,Family_Not_Found
6HL,2H1,1.5138,ci-in,Family_Not_Found
6HJ,2H1,1.497,ci-in,Family_Not_Found
3HK,2HK,1.4424,ci-in,CAMK
3UL,2HV,1.443,ci-in,CAMK
5L4,2HW,1.8294,ci-in,CAMK
6YN,2HW,1.4454,ci-in,CAMK
2HX,2HW,1.5216,ci-in,CAMK
5H7,2HX,1.95,ci-in,CAMK
3YR,2HX,1.44,ci-in,CAMK
5L4,2HX,1.4574,ci-in,CAMK
6CB,2HX,1.452,ci-in,CAMK
NJD,2JZ,1.5078,ci-in,Other
7X3,2JZ,1.5582,ci-in,Other
IPW,2K0,2.427,ci-in,STE
Q6W,2K0,1.5894,ci-in,STE
VGH,2K0,1.5624,ci-in,STE
32,2K0,1.4676,ci-in,STE
904,2K0,1.4508,ci-in,STE
6NC,2K0,1.434,ci-in,STE
DQX,2K0,1.4556,ci-in,STE
STU,2K2,2.5296,ci-in,CMGC
4ST,2K2,2.2422,ci-in,CMGC
KSA,2K2,2.1696,ci-in,CMGC
UCN,2K2,2.2416,ci-in,CMGC
ITQ,2K2,1.9758,ci-in,CMGC
UCM,2K2,1.6974,ci-in,CMGC
2V9,2K2,1.7988,ci-in,CMGC
4O7,2K2,1.8678,ci-in,CMGC
XDR,2K2,1.779,ci-in,CMGC
CKK,2KC,1.4946,ci-in,CK1
38P,2KC,1.4526,ci-in,CK1
844,2NK,1.5078,omega,AGC
2NS,2NR,2.2074,ci-in,AGC
AM0,2NS,1.4388,ci-in,AGC
2OQ,2OL,1.8624,ci-in,STE
2OO,2OL,1.7346,ci-in,STE
2OQ,2OO,1.8312,ci-in,STE
AM0,2OO,1.4544,ci-in,STE
746,2P5,2.1,co-in,TK
481,2P5,1.7556,co-in,TK
4UQ,2P5,1.6116,co-in,TK
2V1,2P5,1.6836,co-in,TK
2VL,2P5,1.5252,co-in,TK
P38,2P5,1.4658,co-in,TK
P39,2P5,1.5096,co-in,TK
3OU,2P5,1.527,co-in,TK
58V,2P5,1.458,co-in,TK
3OV,2P5,1.4388,co-in,TK
YQY,2P7,2.4348,co-in,STE
EUI,2P7,2.1528,co-in,STE
4BM,2P7,1.773,co-in,STE
5Y0,2P7,1.773,co-in,STE
3BM,2P7,1.5702,co-in,STE
MEK,2P7,1.5462,co-in,STE
BBM,2P7,1.5726,co-in,STE
MRA,2P7,1.5126,co-in,STE
3OR,2P7,1.506,co-in,STE
P6G,2PE,3,nonspecific,NonSpecific
PG4,2PE,3,nonspecific,NonSpecific
PGE,2PE,3,nonspecific,NonSpecific
PEG,2PE,2.5758,nonspecific,NonSpecific
7PE,2PE,2.5104,nonspecific,NonSpecific
PE4,2PE,2.5104,nonspecific,NonSpecific
PEU,2PE,2.5104,nonspecific,NonSpecific
PG0,2PE,2.439,nonspecific,NonSpecific
P4C,2PE,2.1798,nonspecific,NonSpecific
MXE,2PE,1.5186,nonspecific,NonSpecific
P4G,2PE,2.0058,nonspecific,NonSpecific
D31,2PU,1.4412,co-in,CMGC
SS3,2PY,1.7214,ci-in,Family_Not_Found
SS4,2PY,1.6668,ci-in,Family_Not_Found
L20,2PY,1.6284,ci-in,Family_Not_Found
SS5,2PY,1.5906,ci-in,Family_Not_Found
4PY,2PY,1.5204,ci-in,Family_Not_Found
2QV,2QT,1.4796,ci-in,STE
2QV,2QU,1.488,ci-in,STE
CWS,2QV,1.8138,co-in,STE
AUE,2QV,1.4496,co-in,STE
D23,2QV,1.5306,co-in,STE
CX4,2QV,1.4742,co-in,STE
900,2RL,1.7652,ci-out,TK
DF6,2RL,1.5918,ci-out,TK
AV9,2RL,1.6038,ci-out,TK
887,2RL,1.4976,ci-out,TK
LEV,2RL,1.5672,ci-out,TK
FPW,2RL,1.5468,ci-out,TK
88Z,2RL,1.6278,ci-out,TK
FPU,2RL,1.5486,ci-out,TK
3Z2,2RL,1.4376,ci-out,TK
MT4,2RL,1.4388,ci-out,TK
SEP,2RX,2.2518,nonspecific,NonSpecific
PSE,2RX,1.5324,nonspecific,NonSpecific
TPO,2RX,1.4838,nonspecific,NonSpecific
4SB,2SB,2.0952,ci-in,AGC
3SB,2SB,1.9812,ci-in,AGC
SCJ,2SC,2.3226,co-in,CMGC
SCZ,2SC,2.3754,co-in,CMGC
6SC,2SC,2.0994,co-in,CMGC
SCX,2SC,1.8858,co-in,CMGC
SCQ,2SC,1.5354,co-in,CMGC
NS9,2SC,1.6326,co-in,CMGC
SCF,2SC,1.8234,co-in,CMGC
3SC,2SC,1.6824,co-in,CMGC
SC8,2SC,1.7466,co-in,CMGC
CQ6,2SH,1.5468,ci-in,CMGC
41B,2SH,1.5126,ci-in,CMGC
4VF,2SH,1.5594,ci-in,CMGC
4VG,2SH,1.5522,ci-in,CMGC
ZUQ,2TT,1.5414,co-out,TK
3UP,2TT,1.5576,co-out,TK
2WF,2TT,1.5438,co-out,TK
3UO,2TT,1.4634,co-out,TK
481,2V1,2.229,co-in,TK
50J,2V1,1.7604,co-in,TK
CG4,2V1,1.7232,co-in,TK
50H,2V1,1.5966,co-in,TK
746,2V1,1.7568,co-in,TK
CG9,2V1,1.662,co-in,TK
A0H,2V1,1.7004,co-in,TK
ASH,2V1,1.5138,co-in,TK
88A,2V1,1.4874,co-in,TK
XYW,2V1,1.4442,co-in,TK
58V,2V1,1.5228,co-in,TK
6MV,2V2,1.6194,co-in,TK
3P0,2V2,1.4814,co-in,TK
6XL,2V2,1.5576,co-in,TK
3OV,2V2,1.524,co-in,TK
3OU,2V2,1.4508,co-in,TK
2V3,2V2,1.5048,co-in,TK
6CD,2V2,1.449,co-in,TK
3OV,2V3,2.2374,co-in,TK
3P0,2V3,2.0124,co-in,TK
3OU,2V3,1.7634,co-in,TK
6XL,2V3,1.7994,co-in,TK
4WG,2V3,1.437,co-in,TK
LQQ,2V3,1.4442,co-in,TK
2VL,2V3,1.4622,co-in,TK
XDR,2V9,2.3718,ci-in,AGC
KSA,2V9,2.118,ci-in,AGC
ITQ,2V9,1.9152,ci-in,AGC
UCM,2V9,1.7124,ci-in,AGC
UCN,2V9,1.8612,ci-in,AGC
STU,2V9,1.8474,ci-in,AGC
VIN,2V9,1.5882,ci-in,AGC
4ST,2V9,1.689,ci-in,AGC
4O7,2V9,1.5702,ci-in,AGC
746,2VL,1.9398,co-in,TK
481,2VL,1.5384,co-in,TK
3YO,2VL,1.6062,co-in,TK
D42,2VL,1.4994,co-in,TK
3OU,2VL,1.5402,co-in,TK
3OV,2VL,1.4784,co-in,TK
3P0,2VL,1.5276,co-in,TK
6KC,2VL,1.452,co-in,TK
6KD,2VL,1.4334,co-in,TK
SVE,2VL,1.4418,co-in,TK
R4L,2VL,1.464,co-in,TK
L1G,2VL,1.4556,co-in,TK
L2G,2VL,1.4478,co-in,TK
2VU,2VT,2.3088,ci-in,TK
2VV,2VT,1.6242,ci-in,TK
2VW,2VT,1.6242,ci-in,TK
2VV,2VU,2.1,nonspecific,NonSpecific
2VW,2VU,2.1,nonspecific,NonSpecific
2VW,2VV,3,co-in,TK
2W6,2VV,1.9674,co-in,TK
2W6,2VW,1.9674,co-in,TK
6DC,2VX,1.9524,co-in,TKL
T1Q,2VX,1.5702,co-in,TKL
324,2VX,1.467,co-in,TKL
RI9,2VX,1.473,co-in,TKL
DFS,2VX,1.4424,co-in,TKL
32,2VX,1.443,co-in,TKL
B0R,2VX,1.4706,co-in,TKL
RI8,2VX,1.4934,co-in,TKL
3P6,2W6,1.7952,ci-in,TK
75X,2WC,2.4954,ci-in,CMGC
SQ9,2WC,2.2092,ci-in,CMGC
G6T,2WC,1.9692,ci-in,CMGC
4QE,2WC,2.2206,ci-in,CMGC
CMG,2WC,1.6668,ci-in,CMGC
N69,2WC,1.6524,ci-in,CMGC
NW1,2WC,1.4808,ci-in,CMGC
7GJ,2WC,1.6434,ci-in,CMGC
JYM,2WC,1.6008,ci-in,CMGC
6CP,2WC,1.5852,ci-in,CMGC
NU6,2WC,1.6434,ci-in,CMGC
N41,2WC,1.6278,ci-in,CMGC
N76,2WC,1.434,ci-in,CMGC
MBP,2WC,1.4592,ci-in,CMGC
N20,2WC,1.5492,ci-in,CMGC
2WF,2WE,1.5528,ci-in,CMGC
2WG,2WE,1.4454,ci-in,CMGC
3UP,2WF,1.7742,ci-in,CMGC
2WG,2WF,1.6518,ci-in,CMGC
3UO,2WF,1.5648,ci-in,CMGC
JNK,2WF,1.6494,ci-in,CMGC
3UO,2WG,1.5786,ci-in,CMGC
JNK,2WG,1.4562,ci-in,CMGC
3YX,2X6,1.7874,ci-in,TK
7KF,2X6,1.4328,ci-in,TK
SX8,2YK,1.488,ci-in,TK
373,306,2.2242,ci-in,CAMK
710,306,1.656,ci-in,CAMK
422,306,1.4862,ci-in,CAMK
BX1,30E,2.5062,nonspecific,NonSpecific
WI2,30E,2.1174,nonspecific,NonSpecific
OL2,30E,1.596,nonspecific,NonSpecific
T3M,30E,1.602,nonspecific,NonSpecific
5R1,30E,1.5732,nonspecific,NonSpecific
4VQ,30E,1.5672,nonspecific,NonSpecific
3L0,30G,1.6128,nonspecific,NonSpecific
3KZ,30G,1.509,nonspecific,NonSpecific
PZW,30G,1.7256,nonspecific,NonSpecific
XIN,30K,1.5372,ci-in,TK
ZOP,30K,1.5042,ci-in,TK
320,319,2.1714,ci-out,TK
L8V,319,1.5984,ci-out,TK
CKK,319,1.5708,ci-out,TK
31L,31K,2.097,co-in,Family_Not_Found
844,31L,1.6848,co-in,Family_Not_Found
4KT,31L,1.5072,co-in,Family_Not_Found
P47,31S,2.583,ci-in,AGC
ASH,31Y,1.5486,ci-in,TK
AD5,31Y,1.4682,ci-in,TK
3O4,31Y,1.4802,ci-in,TK
CG9,31Y,1.4352,ci-in,TK
ZYU,31Y,1.4592,ci-in,TK
CKK,320,1.6152,ci-out,TK
6V3,320,1.512,ci-out,TK
NG2,320,1.4388,ci-out,TK
DF6,320,1.5054,ci-out,TK
32,324,2.5812,co-in,TKL
6NB,324,2.2938,co-in,TKL
325,324,2.3034,co-in,TKL
6N9,324,2.1072,co-in,TKL
904,324,1.9968,co-in,TKL
6NC,324,1.9818,co-in,TKL
DFS,324,1.818,co-in,TKL
TV4,324,1.686,co-in,TKL
B0R,324,1.7082,co-in,TKL
RI9,324,1.4448,co-in,TKL
RI8,324,1.5756,co-in,TKL
T1Q,324,1.4394,co-in,TKL
32,325,2.5308,co-in,TKL
6NB,325,2.3556,co-in,TKL
904,325,2.211,co-in,TKL
6N9,325,2.2212,co-in,TKL
6NC,325,2.0946,co-in,TKL
DFS,325,1.5984,co-in,TKL
B0R,325,1.5528,co-in,TKL
TV4,325,1.497,co-in,TKL
6NB,32,2.5794,co-in,TKL
6N9,32,2.3808,co-in,TKL
6NC,32,2.2374,co-in,TKL
904,32,2.1966,co-in,TKL
DFS,32,1.7412,co-in,TKL
TV4,32,1.6362,co-in,TKL
B0R,32,1.683,co-in,TKL
IPW,32,1.536,co-in,TKL
RI8,32,1.5552,co-in,TKL
T1Q,32,1.5084,co-in,TKL
54J,32,1.4328,co-in,TKL
32J,32H,2.1858,ci-in,Family_Not_Found
C1V,32H,2.1192,ci-in,Family_Not_Found
VRV,32H,1.4766,ci-in,Family_Not_Found
C1V,32J,2.3886,ci-in,Family_Not_Found
VRV,32J,1.4598,ci-in,Family_Not_Found
P40,32W,1.5552,ci-in,TK
B10,337,1.6086,ci-out,CMGC
82A,33A,2.1876,ci-in,CMGC
EK5,33A,2.0604,ci-in,CMGC
EK9,33A,1.455,ci-in,CMGC
EK4,33A,1.797,ci-in,CMGC
E86,33A,1.4334,ci-in,CMGC
E28,33A,1.6482,ci-in,CMGC
EK6,33A,1.6686,ci-in,CMGC
EK2,33A,1.6884,ci-in,CMGC
3JZ,349,1.668,omega,TK
YAM,349,1.6428,omega,TK
932,34I,2.6586,ci-in,CMGC
SU9,34L,1.7532,ci-in,STE
45K,34L,1.7706,ci-in,STE
46K,34L,1.7334,ci-in,STE
LS2,34L,1.5168,ci-in,STE
D6I,34U,1.4658,ci-in,STE
9BD,34U,1.4394,ci-in,STE
P1E,34W,1.4592,ci-in,STE
6Q4,34W,1.6512,ci-in,STE
4K5,34W,1.566,ci-in,STE
MMG,351,1.7226,ci-out,TK
GMG,351,1.5726,ci-out,TK
P3Y,351,1.4514,ci-out,TK
44,353,1.5684,ci-out,TK
75H,353,1.554,ci-out,TK
L1X,353,1.6746,ci-out,TK
L8V,353,1.4442,ci-out,TK
DQO,358,1.9206,ci-in,CMGC
B45,358,1.9344,ci-in,CMGC
94,358,1.5564,ci-in,CMGC
L0F,35R,1.5798,ci-in,STE
5BE,35R,1.4598,ci-in,STE
35X,35W,2.334,ci-in,CMGC
362,35W,1.7904,ci-in,CMGC
3RC,35W,1.6524,ci-in,CMGC
5GX,35W,1.671,ci-in,CMGC
362,35X,1.788,ci-in,CMGC
363,362,2.0484,ci-in,CMGC
YVQ,362,1.5378,ci-in,CMGC
4UB,362,1.6302,ci-in,CMGC
36N,363,1.5828,ci-in,CMGC
XEZ,363,1.5558,ci-in,CMGC
4UB,363,1.5594,ci-in,CMGC
YVQ,363,1.5198,ci-in,CMGC
GVH,36N,1.6326,ci-in,CMGC
AD5,36O,1.7442,ci-in,CMGC
ADE,36O,1.8,ci-in,CMGC
M02,36O,1.9002,ci-in,CMGC
ES4,36O,1.5,ci-in,CMGC
EMU,36O,1.764,ci-in,CMGC
ZIP,36O,1.8258,ci-in,CMGC
M01,36O,1.8336,ci-in,CMGC
69P,36O,1.7934,ci-in,CMGC
ZYU,36O,1.692,ci-in,CMGC
ZXC,36O,1.533,ci-in,CMGC
36Q,36O,1.7184,ci-in,CMGC
SIJ,36O,1.701,ci-in,CMGC
QNI,36O,1.686,ci-in,CMGC
QWI,36O,1.5486,ci-in,CMGC
FS9,36O,1.4838,ci-in,CMGC
FXG,36O,1.551,ci-in,CMGC
ZYV,36O,1.4358,ci-in,CMGC
EMU,36Q,1.95,ci-in,CMGC
ZXC,36Q,1.4364,ci-in,CMGC
ZIP,36Q,1.7202,ci-in,CMGC
ADE,36Q,1.5504,ci-in,CMGC
69P,36Q,1.509,ci-in,CMGC
M01,36Q,1.5186,ci-in,CMGC
ZYU,36Q,1.5582,ci-in,CMGC
M02,36Q,1.5018,ci-in,CMGC
FSE,371,1.4316,co-in,CMGC
422,373,1.719,ci-in,CAMK
710,373,1.4676,ci-in,CAMK
386,37J,2.4108,ci-in,CK1
RBS,37Q,1.5354,ci-in,TK
4L5,38G,1.626,ci-in,CAMK
IYZ,38G,1.4928,ci-in,CAMK
507,38G,1.4682,ci-in,CAMK
NK0,38P,2.4564,ci-in,CMGC
39P,38P,2.4606,ci-in,CMGC
P38,38P,1.8642,ci-in,CMGC
P39,38P,1.9452,ci-in,CMGC
N4D,38P,1.4772,ci-in,CMGC
P37,38P,1.566,ci-in,CMGC
REB,38R,2.382,ci-in,CMGC
APJ,38R,2.0412,ci-in,CMGC
4T5,38R,1.872,ci-in,CMGC
EBD,38R,2.0328,ci-in,CMGC
5CP,38R,2.0448,ci-in,CMGC
IHH,38R,1.884,ci-in,CMGC
CJ5,38R,1.8366,ci-in,CMGC
E63,38R,1.5306,ci-in,CMGC
4T6,38R,1.4388,ci-in,CMGC
3RF,38R,1.5774,ci-in,CMGC
3RJ,38R,1.5936,ci-in,CMGC
499,38W,1.5012,ci-in,CAMK
3G7,38Z,1.6146,ci-in,NonSpecific
